simulaciones,partida,ganador,score_negro,score_blanco,movimientos_totales,tiempo_medio_decision_mcts_seg,capturas_negro,capturas_blanco
100,1,BLACK,25,6.5,45,0.1745800142702849,19,1
100,2,BLACK,21,8.5,44,0.18328814073042435,15,0
100,3,BLACK,25,6.5,47,0.18264461557070413,18,2
300,1,BLACK,18,11.5,34,0.61997530039619,11,0
300,2,BLACK,20,9.5,37,0.572486588829442,13,0
300,3,BLACK,18,13.5,29,0.6593061129252116,6,0
600,1,BLACK,18,11.5,41,1.1717890784853982,13,1
600,2,BLACK,20,9.5,50,0.9576170825958252,22,1
600,3,BLACK,20,9.5,44,1.0219217430461536,18,0
1000,1,BLACK,22,8.5,41,1.7839601266951788,16,1
1000,2,BLACK,20,9.5,35,2.0058264467451306,13,0
1000,3,BLACK,23,7.5,43,1.924067410555753,19,2
